"Documentation of the Training Process"
"Epoch","Loss","SSIM","PSNR"
"0","0.011851382441818714","0.8998141126211567","tensor(34.8016)"
"1","0.012750598601996899","0.9045448803373909","tensor(35.3530)"
"2","0.017853977158665657","0.9060875422086198","tensor(35.3703)"
"3","0.011329484172165394","0.9075943106986899","tensor(35.6259)"
"4","0.015433951281011105","0.9081998969092863","tensor(35.8069)"
"5","0.008489585481584072","0.9090111197428528","tensor(35.4929)"
"6","0.019452929496765137","0.9098174838865255","tensor(35.9368)"
